Day fraction since midnight on	Time (s)	Hydraulic Residence Time	pH
0.609757849	1	0.001111111111	7.850072861
0.6098157273	2	0.002222222222	7.839765072
0.6098735952	3	0.003333333333	7.841414928
0.6099314684	4	0.004444444444	7.849553108
0.6099893367	5	0.005555555556	7.854076386
0.6100472102	6	0.006666666667	7.84693718
0.6101050831	7	0.007777777778	7.847279549
0.6101629469	8	0.008888888889	7.846282959
0.6102208295	9	0.01	7.863742828
0.6102786927	10	0.01111111111	7.852180958
0.6103365663	11	0.01222222222	7.854418278
0.6103944311	12	0.01333333333	7.824771404
0.6104523099	13	0.01444444444	7.764472961
0.610510174	14	0.01555555556	7.724399567
0.6105680435	15	0.01666666667	7.690345287
0.6106259089	16	0.01777777778	7.642761231
0.6106837889	17	0.01888888889	7.611517906
0.6107416533	18	0.02	7.572906971
0.6107995367	19	0.02111111111	7.543384075
0.6108573971	20	0.02222222222	7.518411636
0.6109152615	21	0.02333333333	7.48659277
0.6109731375	22	0.02444444444	7.458284855
0.611031001	23	0.02555555556	7.426954746
0.6110888795	24	0.02666666667	7.408782482
0.6111467506	25	0.02777777778	7.384394646
0.6112046143	26	0.02888888889	7.366333485
0.611262495	27	0.03	7.341725349
0.6113203623	28	0.03111111111	7.319348335
0.6113782326	29	0.03222222222	7.3005476
0.6114361048	30	0.03333333333	7.270124435
0.611493974	31	0.03444444444	7.251856804
0.6115518471	32	0.03555555556	7.222439289
0.6116097066	33	0.03666666667	7.215242386
0.6116675902	34	0.03777777778	7.192458153
0.6117486098	35	0.03888888889	7.172066212
0.6117601717	36	0.04	7.168173313
0.6117717475	37	0.04111111111	7.163107395
0.6117833244	38	0.04222222222	7.159250259
0.6117948966	39	0.04333333333	7.161192417
0.6118064753	40	0.04444444444	7.160862923
0.6118180552	41	0.04555555556	7.158557415
0.6118296223	42	0.04666666667	7.158761978
0.6118411913	43	0.04777777778	7.160324574
0.611852773	44	0.04888888889	7.156427383
0.6118643393	45	0.05	7.158761978
0.611875921	46	0.05111111111	7.154516697
0.6118874938	47	0.05222222222	7.140707016
0.6118990704	48	0.05333333333	7.124343395
0.6119106413	49	0.05444444444	7.125152111
0.6119222089	50	0.05555555556	7.129908562
0.6119337916	51	0.05666666667	7.136487484
0.6119453572	52	0.05777777778	7.126297951
0.6119569402	53	0.05888888889	7.123028278
0.6119685098	54	0.06	7.120117188
