Day fraction since midnight on	Time (s)	Hydraulic Residence Time	pH
0.6479639457	1	0.000985767489	8.139699936
0.6479755268	2	0.001971534978	8.141713142
0.6479870998	3	0.002957302467	8.138748169
0.6479986783	4	0.003943069956	8.1385746
0.6480102488	5	0.004928837445	8.141427994
0.6480218236	6	0.005914604934	8.142729759
0.6480333886	7	0.006900372423	8.143554688
0.6480449845	8	0.007886139912	8.14292717
0.6480565434	9	0.008871907401	8.142061234
0.6480681172	10	0.00985767489	8.142025948
0.6480796887	11	0.01084344238	8.141470909
0.6480912661	12	0.01182920987	8.140590668
0.6481028522	13	0.01281497736	8.136936188
0.6481144087	14	0.01380074485	8.134022713
0.6481259931	15	0.01478651233	8.130843163
0.6481375614	16	0.01577227982	8.124960899
0.6481491315	17	0.01675804731	8.120707512
0.6481607152	18	0.0177438148	8.118545532
0.6481722844	19	0.01872958229	8.116176605
0.6481838527	20	0.01971534978	8.113833427
0.6481954329	21	0.02070111727	8.110102654
0.6482070175	22	0.02168688476	8.102149963
0.6482185815	23	0.02267265225	8.095675468
0.6482301551	24	0.02365841974	8.089111328
0.6482417295	25	0.02464418722	8.076633453
0.6482533183	26	0.02562995471	8.067112923
0.6482648772	27	0.0266157222	8.057150841
0.6482764586	28	0.02760148969	8.047496796
0.648288019	29	0.02858725718	8.035815239
0.6482996057	30	0.02957302467	8.029049873
0.6483111751	31	0.03055879216	8.033297539
0.6483227419	32	0.03154455965	8.040970802
0.6483343254	33	0.03253032714	8.044023514
0.6483459094	34	0.03351609463	8.051157951
0.6483574702	35	0.03450186211	8.054790497
0.6483690399	36	0.0354876296	8.055831909
0.6483806198	37	0.03647339709	8.05489254
0.6483921881	38	0.03745916458	8.052379608
0.6484037639	39	0.03844493207	8.043970108
0.6484153434	40	0.03943069956	8.042462349
0.648426916	41	0.04041646705	8.042551041
0.6484384839	42	0.04140223454	8.040467262
0.6484500583	43	0.04238800203	8.04095459
0.6484616318	44	0.04337376952	8.044963837
0.6484732039	45	0.044359537	8.041249275
0.6484847862	46	0.04534530449	8.0328722
0.6484963584	47	0.04633107198	8.0262146
0.6485079461	48	0.04731683947	8.027523994
0.6485195087	49	0.04830260696	8.029039383
0.6485310947	50	0.04928837445	8.032223702
0.6485426495	51	0.05027414194	8.032707214
0.6485542307	52	0.05125990943	8.032135963
0.6485657993	53	0.05224567692	8.032909393
0.6485773779	54	0.05323144441	8.034449577
0.6485889445	55	0.05421721189	8.033488274
0.6486005202	56	0.05520297938	8.026823044
0.6486120996	57	0.05618874687	8.021651268
0.6486236698	58	0.05717451436	8.018302918
0.6486352474	59	0.05816028185	8.016917229
0.6486468238	60	0.05914604934	8.015812874
0.6486583905	61	0.06013181683	8.012673378
0.6486699709	62	0.06111758432	8.009325981
0.6486815392	63	0.06210335181	7.995120525
0.6486931194	64	0.0630891193	7.990934849
0.6487046943	65	0.06407488678	7.98867321
0.6487162656	66	0.06506065427	7.986146927
0.6487278394	67	0.06604642176	7.985226154
0.6487394158	68	0.06703218925	7.982848167
0.6487509911	69	0.06801795674	7.979643822
0.6487625646	70	0.06900372423	7.97633791
0.6487741297	71	0.06998949172	7.966181755
0.6487857083	72	0.07097525921	7.958955765
0.6487972855	73	0.0719610267	7.957960606
0.64880886	74	0.07294679419	7.957745552
0.6488204308	75	0.07393256167	7.956459999
0.6488320083	76	0.07491832916	7.953310013
0.6488435867	77	0.07590409665	7.946542263
0.6488551575	78	0.07688986414	7.945878983
0.6488667232	79	0.07787563163	7.944151402
0.6488783048	80	0.07886139912	7.940739155
0.6488898733	81	0.07984716661	7.935645104
0.648901445	82	0.0808329341	7.929516316
0.6489130234	83	0.08181870159	7.92607975
0.6489246019	84	0.08280446908	7.924837112
0.648936167	85	0.08379023656	7.923995495
0.6489477503	86	0.08477600405	7.91673708
0.6489593292	87	0.08576177154	7.906428337
0.6489708948	88	0.08674753903	7.902514935
0.6489824638	89	0.08773330652	7.902868271
0.6489940467	90	0.08871907401	7.907497883
0.6490056246	91	0.0897048415	7.905656815
0.6490171954	92	0.09069060899	7.898562908
0.6490287676	93	0.09167637648	7.89963913
0.6490403428	94	0.09266214397	7.898924351
0.6490519225	95	0.09364791145	7.897574425
0.6490634897	96	0.09463367894	7.895958901
0.6490750596	97	0.09561944643	7.886097908
0.6490866387	98	0.09660521392	7.884888649
0.6490982116	99	0.09759098141	7.881558418
0.649109787	100	0.0985767489	7.877873421
0.6491213743	101	0.09956251639	7.877114296
0.6491329324	102	0.1005482839	7.877382755
0.6491445085	103	0.1015340514	7.874711514
0.6491560816	104	0.1025198189	7.872903824
0.6491676571	105	0.1035055863	7.870136261
0.6491792311	106	0.1044913538	7.867973328
0.6491908018	107	0.1054771213	7.865264893
0.649202379	108	0.1064628888	7.856207848
0.6492139535	109	0.1074486563	7.841196537
0.649225527	110	0.1084344238	7.844727993
0.6492370949	111	0.1094201913	7.847123623
0.6492486734	112	0.1104059588	7.845695972
0.6492602422	113	0.1113917263	7.842994213
0.6492718256	114	0.1123774937	7.845450401
