Day fraction since midnight on	Time (s)	Hydraulic Residence Time	pH
0.6479639457	1	0.001111111111	8.139699936
0.6479755268	2	0.002222222222	8.141713142
0.6479870998	3	0.003333333333	8.138748169
0.6479986783	4	0.004444444444	8.1385746
0.6480102488	5	0.005555555556	8.141427994
0.6480218236	6	0.006666666667	8.142729759
0.6480333886	7	0.007777777778	8.143554688
0.6480449845	8	0.008888888889	8.14292717
0.6480565434	9	0.01	8.142061234
0.6480681172	10	0.01111111111	8.142025948
0.6480796887	11	0.01222222222	8.141470909
0.6480912661	12	0.01333333333	8.140590668
0.6481028522	13	0.01444444444	8.136936188
0.6481144087	14	0.01555555556	8.134022713
0.6481259931	15	0.01666666667	8.130843163
0.6481375614	16	0.01777777778	8.124960899
0.6481491315	17	0.01888888889	8.120707512
0.6481607152	18	0.02	8.118545532
0.6481722844	19	0.02111111111	8.116176605
0.6481838527	20	0.02222222222	8.113833427
0.6481954329	21	0.02333333333	8.110102654
0.6482070175	22	0.02444444444	8.102149963
0.6482185815	23	0.02555555556	8.095675468
0.6482301551	24	0.02666666667	8.089111328
0.6482417295	25	0.02777777778	8.076633453
0.6482533183	26	0.02888888889	8.067112923
0.6482648772	27	0.03	8.057150841
0.6482764586	28	0.03111111111	8.047496796
0.648288019	29	0.03222222222	8.035815239
0.6482996057	30	0.03333333333	8.029049873
0.6483111751	31	0.03444444444	8.033297539
0.6483227419	32	0.03555555556	8.040970802
0.6483343254	33	0.03666666667	8.044023514
0.6483459094	34	0.03777777778	8.051157951
0.6483574702	35	0.03888888889	8.054790497
0.6483690399	36	0.04	8.055831909
0.6483806198	37	0.04111111111	8.05489254
0.6483921881	38	0.04222222222	8.052379608
0.6484037639	39	0.04333333333	8.043970108
0.6484153434	40	0.04444444444	8.042462349
0.648426916	41	0.04555555556	8.042551041
0.6484384839	42	0.04666666667	8.040467262
0.6484500583	43	0.04777777778	8.04095459
0.6484616318	44	0.04888888889	8.044963837
0.6484732039	45	0.05	8.041249275
0.6484847862	46	0.05111111111	8.0328722
0.6484963584	47	0.05222222222	8.0262146
0.6485079461	48	0.05333333333	8.027523994
0.6485195087	49	0.05444444444	8.029039383
0.6485310947	50	0.05555555556	8.032223702
0.6485426495	51	0.05666666667	8.032707214
0.6485542307	52	0.05777777778	8.032135963
0.6485657993	53	0.05888888889	8.032909393
0.6485773779	54	0.06	8.034449577
0.6485889445	55	0.06111111111	8.033488274
0.6486005202	56	0.06222222222	8.026823044
0.6486120996	57	0.06333333333	8.021651268
0.6486236698	58	0.06444444444	8.018302918
0.6486352474	59	0.06555555556	8.016917229
0.6486468238	60	0.06666666667	8.015812874
0.6486583905	61	0.06777777778	8.012673378
0.6486699709	62	0.06888888889	8.009325981
0.6486815392	63	0.07	7.995120525
0.6486931194	64	0.07111111111	7.990934849
0.6487046943	65	0.07222222222	7.98867321
0.6487162656	66	0.07333333333	7.986146927
0.6487278394	67	0.07444444444	7.985226154
0.6487394158	68	0.07555555556	7.982848167
0.6487509911	69	0.07666666667	7.979643822
0.6487625646	70	0.07777777778	7.97633791
0.6487741297	71	0.07888888889	7.966181755
0.6487857083	72	0.08	7.958955765
0.6487972855	73	0.08111111111	7.957960606
0.64880886	74	0.08222222222	7.957745552
0.6488204308	75	0.08333333333	7.956459999
0.6488320083	76	0.08444444444	7.953310013
0.6488435867	77	0.08555555556	7.946542263
0.6488551575	78	0.08666666667	7.945878983
0.6488667232	79	0.08777777778	7.944151402
0.6488783048	80	0.08888888889	7.940739155
0.6488898733	81	0.09	7.935645104
0.648901445	82	0.09111111111	7.929516316
0.6489130234	83	0.09222222222	7.92607975
0.6489246019	84	0.09333333333	7.924837112
0.648936167	85	0.09444444444	7.923995495
0.6489477503	86	0.09555555556	7.91673708
0.6489593292	87	0.09666666667	7.906428337
0.6489708948	88	0.09777777778	7.902514935
0.6489824638	89	0.09888888889	7.902868271
0.6489940467	90	0.1	7.907497883
0.6490056246	91	0.1011111111	7.905656815
0.6490171954	92	0.1022222222	7.898562908
0.6490287676	93	0.1033333333	7.89963913
0.6490403428	94	0.1044444444	7.898924351
0.6490519225	95	0.1055555556	7.897574425
0.6490634897	96	0.1066666667	7.895958901
0.6490750596	97	0.1077777778	7.886097908
0.6490866387	98	0.1088888889	7.884888649
0.6490982116	99	0.11	7.881558418
0.649109787	100	0.1111111111	7.877873421
0.6491213743	101	0.1122222222	7.877114296
0.6491329324	102	0.1133333333	7.877382755
0.6491445085	103	0.1144444444	7.874711514
