Sample Volume (ml)	50.000000 
Titrant normality	0.050000 
Equivalent Volume (ml)	1.852410 
ANC (eq/L)	0.001852 
correlation coefficient	0.999838 

Titrant Volume (ml)	pH	F1
0.100000	6.998463	0.000000
0.200000	6.839596	0.000000
0.300000	6.699506	0.000000
0.400000	6.559674	0.000000
0.500000	6.458743	0.000000
0.600000	6.345206	0.000000
0.700000	6.259790	0.000001
0.800000	6.174603	0.000001
0.900000	6.067981	0.000001
1.000000	5.976793	0.000001
1.100000	5.876525	0.000001
1.200000	5.776747	0.000002
1.300000	5.678978	0.000002
1.400000	5.555509	0.000003
1.500000	5.423284	0.000004
1.600000	5.251910	0.000006
1.700000	5.019471	0.000010
1.800000	4.667968	0.000022
1.900000	4.161456	0.000072
2.000000	3.752627	0.000184
2.100000	3.529044	0.000308
2.200000	3.376664	0.000439
2.300000	3.273750	0.000557
