Day fraction since midnight on	photometer (mg/L)	photometer (volts)
0.6427183107	0.5541240573	3.531030655
0.6427298777	0.5539361238	3.531131506
0.642741445	0.553804636	3.531202078
0.6427530351	0.5539911985	3.531101942
0.6427646252	0.553953886	3.531121969
0.6427761688	0.554052949	3.531068802
0.6427877589	0.5538006425	3.531204224
0.6427993494	0.5541396141	3.53102231
0.6428108932	0.5541311502	3.53102684
0.6428224833	0.5537295938	3.531242371
0.6428340732	0.5539201498	3.531140089
0.6428456174	0.5541253686	3.53102994
0.6428572306	0.5537584424	3.531226873
0.6428687973	0.5539717078	3.531112433
0.6428803643	0.5537086725	3.531253576
0.6428919316	0.5538406372	3.531182766
0.6429035214	0.5539472699	3.531125546
0.6429150887	0.5541515946	3.531015873
0.6429266557	0.5541551709	3.531013966
0.6429382227	0.5539748073	3.531110764
0.6429498128	0.5539174676	3.53114152
0.6429613799	0.5540449619	3.531073093
0.6429729469	0.5541169643	3.53103447
0.6429845139	0.5541573763	3.531012774
0.6429961039	0.5541164875	3.531034708
0.6430076707	0.5540992022	3.531044006
0.6430192608	0.5538330674	3.531186819
0.6430308278	0.5541920066	3.530994177
0.6430424182	0.5540778637	3.53105545
0.6430539621	0.5539139509	3.531143427
0.6430655522	0.5539703369	3.531113148
0.6430771423	0.5541146994	3.531035662
0.6430887093	0.5542426705	3.530966997
0.6431002764	0.5543164015	3.53092742
0.6431118664	0.5540494323	3.531070709
0.6431234334	0.5540760756	3.531056404
0.6431350001	0.5541769266	3.531002283
0.6431465902	0.5541915894	3.530994415
0.6431581576	0.5543577075	3.530905247
0.6431697246	0.554171145	3.531005383
0.6431812916	0.5542924404	3.530940294
0.6431928586	0.5543848276	3.530890703
0.6432044487	0.558784008	3.528530359
0.6432160388	0.5542804003	3.530946732
0.6432275824	0.5539708138	3.531112909
0.6432391725	0.554330647	3.53091979
0.6432507629	0.5542479753	3.530964136
0.6432623068	0.5543994904	3.530882835
0.6432738969	0.5543732643	3.530896902
0.6432854867	0.5545141101	3.530821323
0.6432970771	0.5544217229	3.530870915
0.6433086207	0.5545092225	3.530823946
0.6433202108	0.5544963479	3.53083086
0.6433317781	0.5546580553	3.530744076
0.6433433682	0.5545101166	3.530823469
0.6433549118	0.5545927286	3.530779123
0.6433665022	0.5543741584	3.530896425
0.6433780692	0.5547109246	3.530715704
0.643389659	0.554531455	3.530812025
0.6434012495	0.554505229	3.530826092
0.6434127931	0.5547184944	3.530711651
0.6434243603	0.554345727	3.530911684
0.6434359502	0.5544847846	3.530837059
0.6434475175	0.5544900894	3.530834198
0.6434591073	0.5545834303	3.53078413
0.6434706746	0.5543839335	3.53089118
0.6434822413	0.5548011065	3.530667305
0.6434938317	0.5543692708	3.530899048
0.6435053987	0.5546673536	3.530739069
0.6435169657	0.5544230342	3.530870199
0.6435285558	0.5543915033	3.530887127
0.6435401228	0.5545447469	3.530804873
0.6435516898	0.5545065403	3.530825377
0.6435632799	0.5545225739	3.530816793
0.6435748469	0.5546242595	3.530762196
0.6435864136	0.5545287728	3.530813456
0.6435979806	0.5546038747	3.530773163
0.643609571	0.554461658	3.530849457
0.6436211381	0.5546020865	3.530774117
0.6436327282	0.5547064543	3.530718088
0.6436442949	0.5545154214	3.530820608
0.6436558622	0.5545541048	3.530799866
0.6436674289	0.5545225739	3.530816793
0.6436790193	0.55471313	3.530714512
0.6436905863	0.5547615886	3.530688524
0.6437021761	0.5545554161	3.530799151
0.6437137434	0.554686904	3.530728579
0.6437253104	0.554972589	3.530575275
0.6437368774	0.5548490882	3.530641556
0.6437484676	0.5547411442	3.530699492
0.6437600345	0.5547953248	3.530670404
0.6437716243	0.554805994	3.530664682
0.6437831917	0.554731369	3.530704737
0.6437947814	0.5553489327	3.530373335
0.6438063254	0.5549166203	3.530605316
0.6438179154	0.5547633171	3.530687571
0.6438294828	0.5548810959	3.53062439
0.6438410495	0.5551134348	3.530499697
0.6438526399	0.5548615456	3.53063488
0.64386423	0.5548534989	3.530639172
0.6438757736	0.5548495054	3.530641317
0.643887364	0.5550929904	3.530510664
0.6438989541	0.555105865	3.53050375
0.6439104984	0.555013895	3.530553103
0.6439220881	0.5549037457	3.53061223
0.6439336548	0.5547802448	3.530678511
0.6439452337	0.5546198487	3.53076458
0.6439568235	0.5549459457	3.530589581
0.6439683908	0.5549756885	3.530573607
0.6439799578	0.5549659133	3.530578852
0.6439915479	0.5548081994	3.53066349
0.6440031146	0.5548677444	3.530631542
0.644014682	0.5551378727	3.530486584
0.6440262486	0.5550068021	3.530556917
0.6440378387	0.5550991893	3.530507326
0.6440494057	0.5551170111	3.530497789
0.6440609731	0.5548855066	3.530622006
0.6440725632	0.5551205277	3.530495882
0.6440841301	0.5551871657	3.530460119
0.6440957199	0.554921031	3.530602932
0.6441072872	0.5552120805	3.530446768
0.6441188543	0.5551152229	3.530498743
0.6441304213	0.5551152229	3.530498743
0.6441420114	0.5549845695	3.530568838
0.6441535784	0.5549787879	3.530571938
0.6441651451	0.5552014112	3.53045249
0.6441767355	0.5555079579	3.530287981
0.6441883025	0.5555741787	3.530252457
0.6441998695	0.555300951	3.530399084
0.6442114596	0.5553249121	3.53038621
0.6442230266	0.5552582741	3.530421972
0.6442345936	0.5553750992	3.530359268
0.6442461837	0.5553218126	3.530387878
0.6442577507	0.5552520752	3.53042531
0.6442693174	0.5554559827	3.530315876
0.6442809078	0.5552231669	3.530440807
0.6442924745	0.5553497672	3.530372858
0.6443040419	0.5553022623	3.530398369
0.6443156316	0.5553515553	3.530371904
0.6443271987	0.555282712	3.530408859
0.6443387888	0.5555222034	3.530280352
0.6443503562	0.5551480651	3.5304811
0.6443619459	0.555275619	3.530412674
0.6443735132	0.5552271605	3.530438662
0.6443850802	0.5552102923	3.530447722
0.64439667	0.5554870963	3.530299187
0.6444082142	0.555508852	3.530287504
0.6444198044	0.5555070639	3.530288458
0.644431371	0.5552124977	3.530446529
0.6444429611	0.5553782582	3.530357599
0.6444545281	0.5555124283	3.530285597
0.6444660954	0.5557612181	3.530152082
0.6444776622	0.5555697083	3.530254841
0.6444892522	0.5554119945	3.530339479
0.6445008196	0.5552600622	3.530421019
0.6445124094	0.5554719567	3.530307293
0.6445239764	0.555793643	3.530134678
0.6445355437	0.5554124117	3.530339241
0.6445471338	0.5553236008	3.530386925
0.6445587009	0.5556621552	3.53020525
0.6445702675	0.5554253459	3.530332327
0.6445818345	0.5554644465	3.530311346
0.6445934249	0.5558478832	3.530105591
0.6446050151	0.555400908	3.53034544
0.644616582	0.5556621552	3.53020525
0.644628149	0.5553973317	3.530347347
0.6446397157	0.5555266142	3.530277968
0.6446512827	0.555542171	3.530269623
0.6446628731	0.5555222034	3.530280352
0.6446744633	0.5556927919	3.530188799
0.6446860303	0.5557380915	3.53016448
0.644697597	0.5557101369	3.530179501
0.6447091871	0.5555199385	3.530281544
0.644720754	0.5556621552	3.53020525
0.6447323211	0.5554773211	3.530304432
0.6447439115	0.5558429956	3.530108213
0.6447554782	0.5556457043	3.530214071
0.6447670452	0.555685699	3.530192614
0.6447786125	0.555711031	3.530179024
0.6447902023	0.5556563735	3.530208349
0.6448017693	0.5558229685	3.530118942
0.6448133367	0.5560162663	3.53001523
0.6448249264	0.5558162928	3.530122519
0.6448364937	0.5560331345	3.53000617
0.6448480838	0.555929184	3.53006196
0.6448596509	0.5560367107	3.530004263
0.6448712178	0.5558944941	3.530080557
0.644882808	0.5561224818	3.529958248
0.6448943747	0.5559726954	3.530038595
0.6449059417	0.5561104417	3.529964685
0.6449175087	0.5556918979	3.530189276
0.6449291222	0.5559465289	3.530052662
0.6449406773	0.5559722781	3.530038834
0.6449522443	0.5559580326	3.530046463
0.6449638184	0.5557434559	3.530161619
0.6449753921	0.5562517643	3.529888868
0.6449869594	0.5559914112	3.530028582
0.6449985495	0.5563699603	3.529825449
0.6450101165	0.5561100245	3.529964924
0.6450216835	0.5560696125	3.52998662
0.6450332506	0.5562144518	3.529908896
0.6450448406	0.5561957955	3.529918909
0.6450564307	0.556233108	3.529898882
0.6450679747	0.5563819408	3.529819012
0.6450795644	0.5562269092	3.52990222
0.6450911315	0.5560913682	3.529974937
0.6451026985	0.5561424494	3.529947519
0.6451142889	0.5563552976	3.529833317
0.6451258559	0.5561393499	3.529949188
start		
0.645137423	0.5560580492	3.529992819
0.645149013	0.5562824011	3.529872417
0.64516058	0.556342423	3.529840231
0.6451721701	0.5564219356	3.529797554
0.6451837371	0.5603397489	3.527695894
0.6451953041	0.5876994729	3.513044596
0.6452068712	1.076584816	3.258598566
0.6452184609	7.145703793	1.021257162
0.6452300279	12.2161026	0.0189707391
0.6452415952	16.26630974	-0.4616206884
0.6452531854	19.75201607	-0.7333956361
0.6452647524	17.30115128	-0.5535255671
0.6452763425	16.9447403	-0.5230555534
0.6452879094	19.28059006	-0.7024848461
0.6452994995	19.20764923	-0.6975562572
0.6453110547	18.54466438	-0.6508824825
0.645322622	18.30812836	-0.6333824396
0.6453342118	18.21337318	-0.6262423396
0.6453458019	18.19787216	-0.6250670552
0.6453573689	18.17464447	-0.6233023405
0.6453689362	17.92161369	-0.6037799716
0.6453805263	17.88968468	-0.6012773514
0.64539207	17.85844994	-0.5988206267
0.6454036603	17.85146713	-0.5982702971
0.6454152505	17.91743279	-0.6034527421
0.6454267944	17.92709541	-0.604208827
0.6454383842	17.8998127	-0.6020721793
0.6454499743	17.91351891	-0.6031463146
0.6454615185	17.81979942	-0.5957688093
0.6454731086	17.6975441	-0.5860289931
0.6454846984	17.64619064	-0.5818982124
0.6454962654	17.58439446	-0.5768960714
0.6455078327	17.51178741	-0.5709751248
