Day fraction since midnight on	photometer (mg/L)	photometer (volts)
0.6767347805	0.5510686636	3.532670736
0.6767463467	0.5508106351	3.532809258
0.6767579127	0.5510730743	3.532668352
0.676769502	0.5506458879	3.532897711
0.6767810686	0.5510677695	3.532671213
0.6767926349	0.5508954525	3.53276372
0.6768042473	0.5508412719	3.532792807
0.6768157905	0.5509851575	3.532715559
start		
0.6768273568	0.5511756539	3.532613277
0.6768389458	0.5507955551	3.532817364
0.6768505355	0.5508745909	3.532774925
0.6768621014	0.5509238839	3.532748461
0.676873668	0.5509136319	3.532753944
0.6768852339	0.5510793328	3.532665014
0.6768968235	0.5510016084	3.532706738
0.6769083898	0.5573213696	3.529314995
0.6769199793	0.5962263942	3.508487463
0.6769315455	0.6365125179	3.487015009
0.6769431116	0.7377058268	3.43350029
0.6769546776	1.542143703	3.028783321
0.6769662672	1.561406612	3.019527674
0.6769778335	1.988729954	2.819205761
0.6769893998	2.813258171	2.4585042
0.6770009892	2.942173481	2.405030012
0.6770125551	3.016857147	2.374398947
0.6770241213	3.302926779	2.259388208
0.6770357107	3.980116367	2.001240015
0.6770472772	4.057200909	1.973064899
0.6770588666	4.755688191	1.72844553
0.6770704329	5.823506355	1.389250994
0.6770819991	5.893491268	1.368391156
0.6770935654	5.908330917	1.363988757
0.6771051547	5.92716074	1.3584131
0.6771167206	5.823583603	1.389227867
0.6771282872	5.823125362	1.389364958
0.6771398763	6.80550909	1.110848427
0.6771514428	6.63902998	1.155938149
0.6771630091	6.755215168	1.124382615
0.6771745984	6.799158573	1.112553239
0.6771861647	6.691912651	1.141524911
0.6771977309	6.572282791	1.174251199
0.67720932	7.043108463	1.047920942
0.6772208865	7.567752361	0.9147049785
0.6772324528	7.682560921	0.8865721822
0.6772440421	8.170988083	0.7708107829
0.6772556084	8.545064926	0.6862949133
0.6772671977	8.891803742	0.6110252738
0.6772787637	9.115217209	0.564037621
0.6772903302	8.747619629	0.6419736743
0.6773018965	9.350242615	0.5158481002
0.6773134859	9.825943947	0.4220703244
0.6773250518	9.456496239	0.4944706559
