Day fraction since midnight on	photometer (mg/L)	(volts)
0.592547677	0.9249600172	3.336043119
0.5925592433	0.9268631339	3.335062981
0.5925708326	0.9255377054	3.335745573
0.5925823989	0.9257733822	3.335624218
0.5925939652	0.9242911935	3.336387634
0.5926055546	0.9246364832	3.336209774
0.5926171209	0.9243143201	3.336375713
0.5926286872	0.9255761504	3.335725784
0.5926402765	0.9260700941	3.335471392
0.5926518428	0.9256025553	3.335712194
0.5926634092	0.9249836206	3.33603096
start		
0.5926749984	0.924854517	3.336097479
0.5926865647	0.9256775379	3.335673571
0.592698131	0.9255446792	3.335741997
0.5927097204	0.9245559573	3.336251259
0.5927212867	0.9256849289	3.335669756
0.592732853	0.9253076911	3.335864067
0.5927444423	0.9256182909	3.335704088
0.5927560086	0.9262775183	3.33536458
0.592767598	0.9262325764	3.335387707
0.5927791643	0.9269159436	3.335035801
0.5927907306	0.926952064	3.335017204
0.5928022969	0.9262515903	3.335377932
0.5928138862	0.9274109006	3.334780932
0.5928254525	0.9270506501	3.334966421
0.5928370188	0.9302421808	3.33332324
0.5928486082	1.021866918	3.286396503
0.5928601976	1.355000973	3.119739771
0.5928717638	1.408971548	3.093314648
0.5928833302	1.417464614	3.089170694
0.5928949195	1.492520571	3.052717924
0.5929064627	1.578711987	3.011229515
0.5929180521	2.158349276	2.74228549
0.5929296411	2.480285406	2.600210667
0.5929411847	2.682571888	2.513498783
0.592952774	2.625641584	2.537706137
0.5929643403	3.150681496	2.320142269
0.5929759066	3.573087454	2.154072046
0.592987496	3.804700136	2.066260815
0.5929990623	4.005923748	1.991780281
0.5930106285	4.344881058	1.870016098
0.5930222179	4.371079922	1.860793829
0.5930337842	4.329012871	1.875614882
0.5930453505	4.79831028	1.71412313
0.5930569399	5.208350658	1.579739451
0.5930685058	5.391936779	1.521524072
0.5930800724	5.122346878	1.607421637
0.5930916618	5.199701309	1.582511544
0.5931032512	5.242416382	1.568847418
0.5931147945	5.366023541	1.529669523
0.5931263838	5.946978092	1.352557659
0.59313795	6.482963562	1.198970079
0.5931495164	7.103415489	1.032210827
0.5931611057	7.177126885	1.01315105
0.593172672	6.985145569	1.063119769
0.5931842383	7.321691513	0.9762197137
0.5931958276	7.963623047	0.8191933036
0.5932073939	8.336442947	0.7329965234
0.5932189602	8.935837746	0.6016718149
0.5932305493	8.979175568	0.5925107598
0.5932421159	8.961805344	0.5961773992
0.5932536822	10.42148113	0.3114306927
0.5932652716	11.61265659	0.1108923703
0.5932768378	11.22125053	0.1738883406
0.5932884042	11.21483803	0.1749433428
0.5932999935	11.43842697	0.1385968626
0.5933115598	11.30094814	0.160838455
0.593323126	11.28280449	0.1637991816
0.5933347155	12.12447357	0.0325355418
0.5933462817	13.1581583	-0.1127827987
0.5933578711	13.77778816	-0.1922350377
0.5933694374	13.71373844	-0.1842728555
0.5933810036	13.1552763	-0.1124003157
0.5933925931	12.87571239	-0.0747147426
0.5934041593	12.60905552	-0.0376640484
0.5934157256	12.224226	0.0177748241
0.593427315	13.00115585	-0.0917691588
0.5934388813	13.91490173	-0.2090910077
0.5934504475	13.81949425	-0.1973892599
0.5934620369	13.83869553	-0.1997543424
0.5934736032	13.99474812	-0.218789503
0.5934851695	13.97894001	-0.2168762088
0.5934967589	14.30879116	-0.2561122477
0.5935083252	14.42033005	-0.269058466
0.5935198914	14.72293568	-0.303385973
0.5935314808	15.485075	-0.3849077523
0.5935430471	15.4270401	-0.37893942
0.5935546133	15.12593365	-0.3473498225
0.5935662028	15.0348959	-0.3375893831
0.5935777691	14.52257919	-0.2807866931
0.5935893353	15.09564018	-0.3441129029
0.5936009247	16.02474213	-0.4386056662
0.593612491	15.99080372	-0.4353226125
0.5936240573	15.75374794	-0.4120428562
