Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6436589846	17.7143611908	-0.5873766541
0.6436705725	17.7198467255	-0.5878155828
0.6436821386	17.7120609283	-0.5871924162
0.6436937170	17.7169780731	-0.5875860453
0.6437053066	17.7164745331	-0.5875457525
0.6437168710	17.7175178528	-0.5876292586
0.6437284375	17.7174186707	-0.5876213908
0.6437400179	17.7223205566	-0.5880134702
0.6437516074	17.7300853729	-0.5886343122
START
0.6437631616	17.7347507477	-0.5890071392
0.6437747282	17.7364788055	-0.5891451836
0.6437863166	17.7371921539	-0.5892020464
0.6437978832	17.7333564758	-0.5888957977
0.6438094791	17.7342720032	-0.5889688730
0.6438210453	17.7319583893	-0.5887840986
0.6438326032	17.7391700745	-0.5893599987
0.6438441697	17.7374973297	-0.5892265439
0.6438557443	17.7136917114	-0.5873230100
0.6438673342	17.7467365265	-0.5899639130
0.6438789058	17.7093849182	-0.5869780183
0.6438904719	17.7385654449	-0.5893117785
0.6439020552	17.6972103119	-0.5860021114
0.6439136445	17.7334289551	-0.5889014602
0.6439252339	17.6935176849	-0.5857059956
0.6439367777	17.7335681915	-0.5889126062
0.6439483401	17.6951274872	-0.5858350396
0.6439599300	17.7275791168	-0.5884341002
0.6439714936	17.6861209869	-0.5851120949
0.6439830601	17.7178077698	-0.5876525044
0.6439946358	17.6793155670	-0.5845653415
0.6440062254	17.7134056091	-0.5873000622
0.6440177834	17.6813144684	-0.5847260356
0.6440293730	17.7035541534	-0.5865108967
0.6440409432	17.6770820618	-0.5843858123
0.6440525328	17.6954059601	-0.5858574510
0.6440640844	17.6774692535	-0.5844169259
0.6440756742	17.6913013458	-0.5855280757
0.6440872289	17.6783313751	-0.5844862461
0.6440988185	17.6907138824	-0.5854808688
0.6441103910	17.6762809753	-0.5843213797
0.6441219577	17.6925544739	-0.5856286287
0.6441335377	17.6779785156	-0.5844579339
0.6441451039	17.6968040466	-0.5859695673
0.6441566874	17.6751289368	-0.5842287540
0.6441682539	17.6922264099	-0.5856022835
0.6441798349	17.6782398224	-0.5844788551
0.6441914015	17.6930770874	-0.5856705308
0.6442029804	17.6810188293	-0.5847022533
0.6442145469	17.6926803589	-0.5856387019
0.6442261311	17.6831607819	-0.5848743916
0.6442376973	17.6948261261	-0.5858108401
0.6442492737	17.6827983856	-0.5848453045
0.6442608634	17.6956996918	-0.5858809352
0.6442724267	17.6814727783	-0.5847387314
0.6442840164	17.6965713501	-0.5859509110
0.6442955876	17.6879253387	-0.5852570534
0.6443071540	17.6991634369	-0.5861588717
0.6443187185	17.6900196075	-0.5854251981
0.6443303084	17.7042026520	-0.5865628719
0.6443418651	17.6971187592	-0.5859947801
0.6443534544	17.7082233429	-0.5868849754
0.6443650576	17.6974143982	-0.5860185027
0.6443766011	17.7105560303	-0.5870718956
0.6443881717	17.7008724213	-0.5862959027
0.6443997383	17.7103862762	-0.5870583057
0.6444113143	17.7123031616	-0.5872117281
0.6444229038	17.7133026123	-0.5872917771
0.6444344726	17.7134895325	-0.5873067379
0.6444460622	17.7149734497	-0.5874256492
0.6444576097	17.7230262756	-0.5880700350
0.6444691990	17.7189044952	-0.5877403021
0.6444807645	17.7215576172	-0.5879524946
0.6444923310	17.7218170166	-0.5879732370
0.6445039108	17.7234916687	-0.5881072283
0.6445155005	17.7227115631	-0.5880448222
0.6445270671	17.7199840546	-0.5878266692
0.6445386337	17.7200145721	-0.5878291130
0.6445502044	17.7203330994	-0.5878545642
0.6445617937	17.7208385468	-0.5878949761
0.6445733666	17.7210845947	-0.5879147053
0.6445849562	17.7245941162	-0.5881953239
0.6445965041	17.7224578857	-0.5880245566
0.6446080937	17.7183856964	-0.5876987576
0.6446196727	17.7183074951	-0.5876923800
0.6446312396	17.7272834778	-0.5884103775
0.6446427994	17.7170372009	-0.5875908136
0.6446543890	17.7123031616	-0.5872118473
0.6446659563	17.7158317566	-0.5874943733
0.6446775463	17.7117633820	-0.5871685743
0.6446891052	17.7100658417	-0.5870326757
0.6447006718	17.7080955505	-0.5868747234
0.6447122436	17.7128620148	-0.5872564912
0.6447238333	17.6991138458	-0.5861548781
0.6447354129	17.7080745697	-0.5868730545
0.6447469795	17.6931629181	-0.5856774449
0.6447585629	17.6967792511	-0.5859676003
0.6447701294	17.6776638031	-0.5844325423
0.6447816906	17.6863803864	-0.5851328969
0.6447932805	17.6649913788	-0.5834131837
0.6448048459	17.6870326996	-0.5851853490
0.6448164124	17.6867141724	-0.5851598382
0.6448280177	17.7189216614	-0.5877415538
0.6448395842	17.6929225922	-0.5856581330
0.6448511386	17.7079868317	-0.5868660212
0.6448627282	17.6836700439	-0.5849153399
0.6448743164	17.7028884888	-0.5864574313
0.6448858595	17.6777744293	-0.5844415426
0.6448974418	17.7000560760	-0.5862304568
0.6449090084	17.6752738953	-0.5842404962
0.6449205889	17.7012634277	-0.5863271952
0.6449321786	17.6678333282	-0.5836420059
0.6449437528	17.6942138672	-0.5857618451
0.6449553205	17.6673927307	-0.5836064219
0.6449668769	17.6994037628	-0.5861781240
0.6449784687	17.6659832001	-0.5834931135
0.6449900540	17.6912612915	-0.5855248570
0.6450016208	17.6572952271	-0.5827933550
0.6450131987	17.6858768463	-0.5850926042
0.6450247652	17.6521091461	-0.5823755264
0.6450363399	17.6906757355	-0.5854777694
0.6450479090	17.6473350525	-0.5819905400
0.6450594818	17.6800918579	-0.5846278071
0.6450710739	17.6504230499	-0.5822394490
0.6450826385	17.6843318939	-0.5849685073
0.6450942277	17.6595706940	-0.5829766989
0.6451057782	17.6823501587	-0.5848092437
0.6451173520	17.6683292389	-0.5836818218
0.6451289335	17.6948070526	-0.5858093500
0.6451405000	17.6828899384	-0.5848526359
0.6451520882	17.7124214172	-0.5872212052
0.6451636397	17.7090148926	-0.5869483948
0.6451752291	17.7371578217	-0.5891994238
0.6451867956	17.7306766510	-0.5886816382
0.6451983798	17.7560863495	-0.5907093287
0.6452099489	17.7595901489	-0.5909885764
0.6452215233	17.7867679596	-0.5931501985
