Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6653374230	0.5629394054	3.5263018608
0.6653489896	0.5627819896	3.5263862610
0.6653605834	0.5629464984	3.5262980461
0.6653721504	0.5630030036	3.5262677670
0.6653837171	0.5627828836	3.5263857841
0.6653952838	0.5631484389	3.5261898041
0.6654068748	0.5629104972	3.5263173580
start
0.6654184415	0.5624711514	3.5265529156
0.6654300309	0.5630870461	3.5262227058
0.6654415976	0.5630301237	3.5262532234
0.6654531646	0.5613796115	3.5271382332
0.6654647544	0.5622466207	3.5266733170
0.6654763211	0.5612826943	3.5271902084
0.6654878874	0.5620923638	3.5267560482
0.6654994544	0.5612764955	3.5271935463
0.6655110443	0.5618900657	3.5268645287
0.6655226109	0.5612471104	3.5272092819
0.6655341773	0.5620194077	3.5267951488
0.6655457670	0.5611195564	3.5272777081
0.6655573337	0.5615419149	3.5270512104
0.6655689007	0.5611279607	3.5272731781
0.6655804905	0.5617001653	3.5269663334
0.6655920572	0.5608021021	3.5274479389
0.6656036239	0.5615454912	3.5270493031
0.6656152133	0.5611439943	3.5272645950
0.6656267800	0.5615476966	3.5270481110
0.6656383470	0.5606861115	3.5275101662
0.6656499365	0.5611213446	3.5272767544
0.6656615035	0.5606269836	3.5275418758
0.6656730698	0.5609479547	3.5273697376
0.6656846599	0.5605096221	3.5276048183
0.6656962266	0.5609292388	3.5273797512
0.6657077930	0.5605615973	3.5275769234
0.6657193830	0.5607501268	3.5274758339
0.6657309497	0.5604749322	3.5276234150
0.6657425395	0.5609065890	3.5273919106
0.6657541062	0.5604686737	3.5276267529
0.6657656957	0.5609959364	3.5273439884
0.6657772645	0.5603380203	3.5276968479
0.6657888311	0.5610395074	3.5273206234
0.6658003979	0.5609310269	3.5273787975
0.6658119876	0.5608594418	3.5274171829
0.6658235567	0.5609790683	3.5273530483
0.6658351233	0.5610951185	3.5272908211
0.6658466920	0.5608986020	3.5273962021
0.6658582590	0.5612982512	3.5271818638
0.6658698511	0.5609626174	3.5273618698
0.6658814178	0.5612929463	3.5271847248
0.6658929845	0.5610644221	3.5273072720
0.6659045740	0.5612480044	3.5272088051
0.6659161409	0.5615183711	3.5270638466
0.6659277076	0.5617566705	3.5269360542
0.6659392834	0.5617348552	3.5269477367
0.6659508732	0.5616548657	3.5269906521
0.6659624460	0.5620412230	3.5267834663
0.6659740358	0.5616161823	3.5270113945
0.6659855810	0.5619754195	3.5268187523
0.6659971707	0.5614712238	3.5270891190
0.6660087374	0.5616632700	3.5269861221
0.6660203272	0.5615766048	3.5270326138
0.6660318939	0.5619105101	3.5268535614
0.6660434605	0.5617592931	3.5269346237
0.6660550416	0.5621697307	3.5267145634
0.6660666313	0.5618864894	3.5268664360
0.6660782028	0.5616730452	3.5269808769
0.6660897694	0.5619246960	3.5268459320
0.6661013361	0.5623955727	3.5265934467
0.6661129028	0.5619825125	3.5268149376
0.6661244925	0.5624089241	3.5265862942
0.6661360592	0.5619740486	3.5268194675
0.6661476256	0.5622243881	3.5266852379
0.6661592156	0.5617197752	3.5269558430
0.6661707823	0.5622328520	3.5266807079
0.6661823490	0.5616450310	3.5269958973
0.6661939385	0.5618931651	3.5268628597
0.6662055055	0.5616219640	3.5270082951
0.6662170740	0.5615721345	3.5270349979
0.6662286408	0.5611871481	3.5272414684
0.6662402327	0.5615419149	3.5270512104
0.6662517997	0.5610443950	3.5273180008
0.6662633734	0.5615627766	3.5270400047
0.6662749632	0.5610195398	3.5273313522
0.6662865341	0.5617522001	3.5269384384
0.6662981008	0.5609874725	3.5273485184
0.6663096671	0.5616245866	3.5270068645
0.6663212572	0.5606607199	3.5275237560
0.6663328281	0.5614832044	3.5270826817
0.6663443948	0.5605015755	3.5276091099
0.6663559870	0.5611222386	3.5272762775
0.6663675536	0.5601783991	3.5277824402
0.6663791227	0.5609497428	3.5273687840
0.6663906893	0.5601877570	3.5277774334
0.6664022722	0.5605531335	3.5275814533
0.6664138619	0.5600525737	3.5278499126
0.6664254098	0.5607167482	3.5274937153
0.6664369996	0.5598974824	3.5279331207
0.6664485700	0.5607123375	3.5274960995
0.6664601370	0.5599588156	3.5279002190
0.6664717098	0.5604566932	3.5276331902
0.6664832993	0.5600304008	3.5278618336
0.6664948663	0.5602646470	3.5277361870
0.6665064330	0.5599045753	3.5279293060
0.6665180228	0.5599334836	3.5279138088
0.6665295895	0.5595542789	3.5281171799
0.6665411578	0.5601673126	3.5277884007
0.6665527479	0.5600441694	3.5278544426
0.6665643147	0.5597098470	3.5280337334
0.6665759044	0.5596969724	3.5280406475
0.6665874711	0.5596338511	3.5280745029
0.6665990378	0.5594853759	3.5281541348
0.6666106275	0.5599521399	3.5279037952
0.6666221942	0.5590231419	3.5284020901
0.6666337690	0.5592755675	3.5282666683
0.6666453354	0.5591151118	3.5283527374
0.6666569062	0.5597338676	3.5280208588
0.6666684725	0.5594694018	3.5281627178
0.6666800541	0.5598450303	3.5279612541
0.6666916436	0.5604771376	3.5276222229
0.6667032174	0.5606384873	3.5275356770
0.6667147841	0.5609172583	3.5273861885
0.6667263552	0.5617344379	3.5269479752
0.6667379448	0.5624662638	3.5265555382
0.6667494909	0.5632070899	3.5261583328
0.6667610803	0.5633022785	3.5261073112
0.6667726468	0.5636754036	3.5259072781
0.6667842132	0.5651937723	3.5250933170
0.6667958054	0.5656768084	3.5248343945
0.6668073718	0.5672568679	3.5239875317
0.6668189382	0.5680919886	3.5235400200
0.6668305277	0.5707147717	3.5221347809
0.6668420988	0.5715087652	3.5217094421
0.6668536649	1.8566204309	2.8801259995
0.6668652572	0.5794554949	3.5174546242
0.6668768236	2.6614630222	2.5224566460
0.6668883919	1.8039643764	2.9046573639
0.6668999811	3.1300146580	2.3284687996
0.6669115475	0.5907726884	3.5114016533
0.6669231140	3.2698154449	2.2725143433
0.6669346950	1.3167482615	3.1385650635
0.6669462619	1.3940992355	3.1005806923
0.6669578304	1.6869698763	2.9596779346
0.6669694199	2.3739786148	2.6465656757
0.6669809864	1.1376854181	3.2277567387
0.6669925528	2.6521396637	2.5264198780
0.6670041434	0.9972210526	3.2989723682
0.6670157102	2.2854101658	2.6856052876
0.6670272766	1.3575841188	3.1184713840
0.6670388661	0.6201758981	3.4957108498
0.6670504374	0.6233219504	3.4940350056
0.6670620038	2.3951294422	2.6372992992
0.6670736002	1.6084597111	2.9970021248
0.6670851669	2.4215250015	2.6257655621
0.6670967333	0.6234687567	3.4939568043
0.6671082998	0.6290126443	3.4910051823
0.6671198685	0.6278216243	3.4916391373
0.6671314580	1.5053676367	3.0465087891
0.6671430244	2.0106799603	2.8091700077
0.6671545908	1.7903259993	2.9110345840
0.6671661818	0.6408554912	3.4847059250
0.6671777482	0.6728981137	3.4677038193
0.6671893156	0.6779211164	3.4650440216
0.6672009051	0.7009861469	3.4528496265
0.6672124739	0.6977275610	3.4545705318
0.6672240633	0.7158135772	3.4450268745
0.6672356104	0.7104145885	3.4478738308
0.6672471999	0.7304552197	3.4373147488
0.6672587664	0.7335906029	3.4356648922
0.6672703328	0.7385187745	3.4330728054
0.6672819223	0.7450385094	3.4296457767
0.6672934887	0.7406187654	3.4319686890
0.6673050575	0.7470520139	3.4285879135
0.6673166470	0.7236762047	3.4408838749
0.6673282182	0.7252597809	3.4400498867
0.6673397846	0.7023544312	3.4521272182
0.6673513574	0.6989265084	3.4539372921
0.6673629239	0.6767929792	3.4656412601
0.6673745134	0.6738051772	3.4672234058
0.6673860798	0.6559666395	3.4766802788
0.6673976504	0.6498090625	3.4799489975
0.6674092399	0.6409707665	3.4846446514
0.6674208083	0.6380239129	3.4862112999
0.6674323747	0.6280836463	3.4914996624
0.6674439412	0.6244071722	3.4934570789
0.6674555307	0.6214724183	3.4950201511
0.6674671008	0.6174357533	3.4971709251
0.6674786672	0.6112360358	3.5004761219
0.6674902400	0.6075655222	3.5024340153
0.6675018296	0.6058228612	3.5033638477
0.6675133983	0.6046179533	3.5040068626
0.6675249648	0.6029361486	3.5049045086
0.6675365633	0.6003847718	3.5062665939
0.6675481294	0.6000351310	3.5064532757
0.6675597024	0.5982242823	3.5074203014
0.6675712692	0.5971069932	3.5080170631
0.6675828389	0.5958518982	3.5086874962
0.6675944284	0.5957349539	3.5087499619
0.6676059978	0.5939504504	3.5097033978
0.6676175645	0.5937590003	3.5098056793
0.6676291309	0.5929380655	3.5102443695
0.6676407201	0.5925610662	3.5104458332
0.6676522914	0.5916500688	3.5109326839
0.6676638578	0.5916514397	3.5109319687
0.6676754521	0.5910443068	3.5112564564
0.6676870188	0.5914444327	3.5110425949
0.6676985876	0.5906910300	3.5114452839
0.6677101540	0.5908886194	3.5113396645
0.6677217269	0.5906058550	3.5114908218
0.6677333164	0.5909916759	3.5112845898
0.6677448827	0.5912017822	3.5111722946
