Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6144228598	0.5547828674	3.5306770802
0.6144344441	0.5549708009	3.5305762291
0.6144460332	0.5550747514	3.5305204391
0.6144575779	0.5550792217	3.5305180550
0.6144691673	0.5549494624	3.5305876732
0.6144807333	0.5548042059	3.5306656361
0.6144922993	0.5548250675	3.5306544304
0.6145038884	0.5545865297	3.5307824612
0.6145154544	0.5549237132	3.5306015015
0.6145270270	0.5544616580	3.5308494568
0.6145385930	0.5550063848	3.5305571556
0.6145501818	0.5548086762	3.5306632519
0.6145617712	0.5548921824	3.5306184292
0.6145733142	0.5550156832	3.5305521488
0.6145849029	0.5547864437	3.5306751728
0.6145964923	0.5548770428	3.5306265354
0.6146080352	0.5548690557	3.5306308270
0.6146196262	0.5549681187	3.5305776596
0.6146311922	0.5548534989	3.5306391716
0.6146427582	0.5551889539	3.5304591656
0.6146543473	0.5551405549	3.5304851532
0.6146659133	0.5547686815	3.5306847095
0.6146774794	0.5549787879	3.5305719376
0.6146890734	0.5549121499	3.5306077003
0.6147006394	0.5552542806	3.5304241180
0.6147122054	0.5551103354	3.5305013657
0.6147237714	0.5550703406	3.5305228233
0.6147353606	0.5550854206	3.5305147171
0.6147469265	0.5538864136	3.5311582088
0.6147585116	0.5522988439	3.5320103168
0.6147700777	0.5524427891	3.5319330692
0.6147816460	0.5525893569	3.5318543911
0.6147932349	0.5528731346	3.5317020416
0.6148048123	0.5519537330	3.5321955681
0.6148163783	0.5524720550	3.5319173336
0.6148279461	0.5517543554	3.5323026180
0.6148395122	0.5520674586	3.5321345329
0.6148511023	0.5517299175	3.5323157310
0.6148626687	0.5519795418	3.5321817398
0.6148742358	0.5515309572	3.5324225426
0.6148858249	0.5518444777	3.5322542191
0.6148973949	0.5518293977	3.5322623253
start
0.6149089608	0.5516415238	3.5323631763
0.6149205587	0.5509585142	3.5327298641
0.6149321013	0.5516406298	3.5323636532
0.6149437058	0.5512458682	3.5325756073
0.6149552487	0.5505974889	3.5329236984
0.6149668225	0.5505135655	3.5329687595
0.6149784116	0.5514683127	3.5324561596
0.6149899799	0.5508088470	3.5328102112
0.6150015689	0.5506840944	3.5328772068
0.6150131361	0.5506534576	3.5328936577
0.6150247021	0.5506308079	3.5329058170
0.6150362681	0.5501871705	3.5331439972
0.6150478572	0.5507187247	3.5328586102
0.6150594300	0.5504953265	3.5329785347
0.6150709972	0.5505801439	3.5329329967
0.6150825633	0.5505268574	3.5329616070
0.6150941352	0.5501298904	3.5331747532
0.6151057266	0.5499926805	3.5332484245
0.6151172948	0.5506801009	3.5328793526
0.6151288695	0.5502977371	3.5330846310
0.6151404355	0.5502453446	3.5331127644
0.6151520086	0.5502609015	3.5331044197
0.6151636010	0.5510970950	3.5326554775
0.6151751493	0.5514958501	3.5324413776
0.6151867384	0.5518413782	3.5322558880
0.6151983095	0.5519692898	3.5321872234
0.6152098755	0.5521971583	3.5320649147
0.6152214573	0.5524396300	3.5319347382
0.6152330233	0.5529966354	3.5316357613
0.6152446124	0.5535265803	3.5313513279
0.6152561784	0.5533693433	3.5314357281
0.6152677477	0.5532791615	3.5314841270
0.6152793148	0.5533004999	3.5314726830
0.6152909058	0.5530788302	3.5315916538
0.6153024721	0.5530059934	3.5316307545
0.6153140430	0.5524281263	3.5319409370
0.6153256102	0.5530490279	3.5316076279
0.6153371993	0.5524801016	3.5319130421
0.6153487884	0.5527501106	3.5317680836
0.6153603586	0.5526928306	3.5317988396
0.6153719249	0.5528016686	3.5317404270
0.6153834930	0.5527194738	3.5317845345
0.6153950593	0.5527807474	3.5317516327
0.6154066309	0.5526551008	3.5318191051
0.6154181972	0.5533471107	3.5314476490
0.6154298136	0.5528287292	3.5317258835
0.6154413569	0.5530685782	3.5315971375
0.6154529275	0.5528220534	3.5317294598
0.6154645192	0.5529357791	3.5316684246
0.6154760873	0.5527843237	3.5317497253
0.6154876573	0.5530183911	3.5316240788
0.6154992234	0.5528331995	3.5317234993
0.6155107893	0.5531690121	3.5315432549
0.6155223816	0.5528287292	3.5317258835
0.6155339504	0.5527585745	3.5317635536
0.6155455203	0.5524281263	3.5319409370
0.6155570887	0.5524622798	3.5319225788
0.6155686777	0.5521754026	3.5320765972
0.6155802484	0.5523290634	3.5319941044
0.6155918144	0.5521389842	3.5320961475
0.6156033849	0.5517286062	3.5323164463
0.6156149564	0.5513368845	3.5325267315
0.6156265337	0.5516090989	3.5323805809
0.6156381228	0.5511437058	3.5326304436
0.6156496915	0.5512671471	3.5325641632
0.6156612626	0.5510362387	3.5326881409
0.6156728517	0.5511552691	3.5326242447
0.6156844075	0.5510650873	3.5326726437
0.6156959779	0.5508159399	3.5328063965
0.6157075724	0.5507191420	3.5328583717
0.6157191157	0.5507848859	3.5328230858
0.6157307047	0.5505322218	3.5329587460
0.6157422708	0.5504140854	3.5330221653
0.6157538595	0.5501627326	3.5331571102
0.6157654143	0.5504425168	3.5330069065
0.6157770035	0.5503305793	3.5330669880
0.6157885696	0.5505610704	3.5329432487
0.6158001353	0.5504571795	3.5329990387
0.6158117293	0.5499624610	3.5332646370
0.6158232951	0.5499944687	3.5332474709
0.6158348611	0.5503399372	3.5330619812
0.6158464338	0.5501835942	3.5331459045
0.6158580044	0.5502879620	3.5330898762
0.6158695936	0.5500495434	3.5332179070
0.6158811682	0.5497915149	3.5333564281
0.6158927375	0.5497098565	3.5334002972
0.6159043047	0.5496516824	3.5334315300
0.6159158779	0.5501902699	3.5331423283
0.6159274478	0.5498612523	3.5333189964
0.6159390391	0.5499829054	3.5332536697
0.6159506133	0.5499038696	3.5332961082
